date,open,high,low,close
3/16/21,6.4967,6.5068,6.4948,6.506
3/15/21,6.4953,6.5104,6.4951,6.5001
3/12/21,6.481,6.5084,6.4774,6.5084
3/11/21,6.4965,6.5023,6.4845,6.4938
3/10/21,6.5086,6.5174,6.5028,6.5055
3/9/21,6.536,6.5433,6.5049,6.5067
3/8/21,6.4992,6.5313,6.4923,6.5261
3/5/21,6.4804,6.4986,6.4717,6.497
3/4/21,6.4704,6.4719,6.4666,6.4699
3/3/21,6.4675,6.4725,6.4566,6.4679
3/2/21,6.4679,6.4752,6.4663,6.4706
3/1/21,6.4676,6.4696,6.4602,6.466
2/26/21,6.4822,6.4824,6.4589,6.4737
2/25/21,6.4566,6.457,6.4463,6.455
2/24/21,6.4544,6.4624,6.4462,6.4569
2/23/21,6.4564,6.4703,6.4542,6.4667
2/22/21,6.4578,6.4693,6.4566,6.4648
2/19/21,6.4724,6.4743,6.4518,6.4577
2/18/21,6.4469,6.4893,6.4462,6.4879
2/10/21,6.4364,6.4586,6.4312,6.4582
2/9/21,6.451,6.4533,6.4327,6.4353
2/8/21,6.462,6.4622,6.4484,6.4486
2/5/21,6.47,6.481,6.4617,6.4658
2/4/21,6.4606,6.4718,6.4576,6.4718
2/3/21,6.4568,6.4628,6.4559,6.462
2/2/21,6.4679,6.4679,6.449,6.4574
2/1/21,6.4308,6.4697,6.4308,6.4679
1/29/21,6.4499,6.467,6.4236,6.4283
1/28/21,6.4897,6.4936,6.4492,6.4495
1/27/21,6.4615,6.4865,6.4588,6.4836
1/26/21,6.4771,6.4774,6.4636,6.4652
1/25/21,6.4848,6.5073,6.4739,6.48
1/22/21,6.4684,6.4854,6.4662,6.4819
1/21/21,6.4593,6.4658,6.4584,6.462
1/20/21,6.4768,6.4775,6.4634,6.4664
1/19/21,6.4924,6.4924,6.4785,6.479
1/18/21,6.4816,6.4973,6.4784,6.4928
1/15/21,6.4667,6.4813,6.4649,6.4809
1/14/21,6.4676,6.4754,6.4624,6.4746
1/13/21,6.453,6.4716,6.4512,6.4683
1/12/21,6.4769,6.4769,6.4587,6.4636
1/11/21,6.481,6.4917,6.4708,6.4814
1/8/21,6.477,6.477,6.4622,6.4746
1/7/21,6.4584,6.479,6.4554,6.4781
1/6/21,6.4523,6.4634,6.4518,6.4628
1/5/21,6.4603,6.4674,6.4305,6.4562
1/4/21,6.5197,6.521,6.4588,6.4615
12/31/20,6.5223,6.556,6.5155,6.5272
12/30/20,6.5316,6.5364,6.5216,6.5233
12/29/20,6.5367,6.5372,6.5275,6.5308
12/28/20,6.5334,6.5429,6.5284,6.5371
12/25/20,6.5276,6.5443,6.5198,6.5418
12/24/20,6.5365,6.5375,6.5277,6.53
12/23/20,6.5488,6.5554,6.5329,6.5407
12/22/20,6.5442,6.5539,6.5407,6.5429
12/21/20,6.5466,6.5554,6.5466,6.5498
12/18/20,6.5325,6.5449,6.5325,6.54
12/17/20,6.528,6.5401,6.528,6.5336
12/16/20,6.5366,6.5458,6.5246,6.5328
12/15/20,6.5462,6.5561,6.5389,6.5394
12/14/20,6.5328,6.5515,6.5328,6.55
12/11/20,6.5375,6.5484,6.5358,6.5463
12/10/20,6.546,6.5528,6.5406,6.544
12/9/20,6.5309,6.5453,6.5208,6.5435
12/8/20,6.5343,6.5392,6.5208,6.5332
12/7/20,6.5371,6.5432,6.5297,6.5298
12/4/20,6.5427,6.5522,6.5272,6.5316
12/3/20,6.5626,6.5642,6.5427,6.5429
12/2/20,6.5655,6.5683,6.5528,6.563
12/1/20,6.5808,6.5868,6.5614,6.5723
11/30/20,6.5718,6.5944,6.5713,6.5789
11/27/20,6.573,6.5845,6.5719,6.5781
11/26/20,6.5683,6.5773,6.5626,6.5756
11/25/20,6.5772,6.5856,6.5732,6.579
11/24/20,6.578,6.5928,6.5746,6.5915
11/23/20,6.5548,6.5862,6.5536,6.586
11/20/20,6.5759,6.5816,6.5627,6.563
11/19/20,6.5623,6.5919,6.5608,6.5838
11/18/20,6.5551,6.5649,6.5406,6.5606
11/17/20,6.5711,6.5753,6.5496,6.5568
11/16/20,6.5866,6.5913,6.5701,6.5848
11/13/20,6.6174,6.6268,6.6051,6.6065
11/12/20,6.6313,6.6336,6.6119,6.613
11/11/20,6.6038,6.6325,6.5931,6.631
11/10/20,6.6205,6.6269,6.5977,6.6164
11/9/20,6.5918,6.634,6.5649,6.6295
11/6/20,6.6145,6.6374,6.6066,6.6125
11/5/20,6.6446,6.662,6.6035,6.6065
11/4/20,6.7067,6.7495,6.6513,6.6554
11/3/20,6.684,6.6968,6.6764,6.6777
11/2/20,6.6936,6.7006,6.6821,6.691
10/30/20,6.6993,6.7035,6.6794,6.6915
10/29/20,6.7266,6.7266,6.7028,6.7149
10/28/20,6.7137,6.7299,6.7079,6.7295
10/27/20,6.712,6.7237,6.6974,6.7055
10/26/20,6.6851,6.7142,6.6788,6.712
10/23/20,6.6793,6.6927,6.6661,6.687
10/22/20,6.647,6.6887,6.647,6.6849
10/21/20,6.6679,6.6712,6.6416,6.651
10/20/20,6.6797,6.6932,6.6761,6.6767
10/19/20,6.693,6.7034,6.682,6.6828
10/16/20,6.7205,6.7251,6.6946,6.6976
10/15/20,6.7155,6.7352,6.7144,6.7254
10/14/20,6.7443,6.7479,6.7133,6.7151
10/13/20,6.755,6.7607,6.7332,6.7464
10/12/20,6.7272,6.7545,6.7127,6.7459
10/9/20,6.7265,6.7355,6.6932,6.6947
9/30/20,6.8144,6.8165,6.7865,6.791
9/29/20,6.8164,6.8276,6.8104,6.816
9/28/20,6.8171,6.8277,6.8101,6.8113
9/25/20,6.8111,6.8337,6.8109,6.8238
9/24/20,6.8101,6.8337,6.8094,6.8287
9/23/20,6.7812,6.813,6.7812,6.8091
9/22/20,6.7945,6.797,6.772,6.7799
9/21/20,6.7624,6.8054,6.7572,6.8053
9/18/20,6.7645,6.7769,6.7513,6.7692
9/17/20,6.7533,6.7794,6.7529,6.7638
9/16/20,6.7772,6.7778,6.7548,6.7548
9/15/20,6.8108,6.8108,6.7702,6.7826
9/14/20,6.8279,6.8324,6.8087,6.8105
9/11/20,6.8359,6.8394,6.832,6.8344
9/10/20,6.8323,6.8424,6.8275,6.8344
9/9/20,6.8464,6.8558,6.8323,6.8333
9/8/20,6.8338,6.8509,6.8285,6.8458
9/7/20,6.8299,6.8338,6.8268,6.8305
9/4/20,6.8429,6.8467,6.8355,6.8425
9/3/20,6.8378,6.8488,6.8251,6.8488
9/2/20,6.8291,6.8391,6.8222,6.8384
9/1/20,6.8445,6.8461,6.8127,6.8282
8/31/20,6.8619,6.8625,6.8427,6.8485
8/28/20,6.8869,6.8871,6.8608,6.8654
8/27/20,6.888,6.8958,6.8748,6.8941
8/26/20,6.9073,6.9073,6.8859,6.886
8/25/20,6.9107,6.9154,6.9078,6.9128
8/24/20,6.9142,6.9208,6.9117,6.9196
8/21/20,6.9108,6.9254,6.9005,6.9194
8/20/20,6.9276,6.9277,6.914,6.9158
8/19/20,6.9167,6.9222,6.9042,6.9207
8/18/20,6.9334,6.9343,6.9115,6.9218
8/17/20,6.9411,6.9472,6.9309,6.9329
8/14/20,6.946,6.954,6.9414,6.9504
8/13/20,6.932,6.9475,6.9314,6.9448
8/12/20,6.9514,6.957,6.9368,6.9372
8/11/20,6.9569,6.9586,6.9425,6.9463
8/10/20,6.9655,6.9721,6.9578,6.9618
8/7/20,6.9562,6.9736,6.9534,6.968
8/6/20,6.9359,6.9535,6.9359,6.9535
8/5/20,6.9726,6.9726,6.9361,6.9366
8/4/20,6.982,6.9868,6.9724,6.9734
8/3/20,6.9804,6.9856,6.972,6.9809
7/31/20,6.9927,6.9929,6.9719,6.9752
7/30/20,6.9953,7.0089,6.9926,7.0088
7/29/20,7.0019,7.0051,6.9965,7.0017
7/28/20,6.9913,7.0094,6.9887,7.0008
7/27/20,7.009,7.009,6.9964,6.9964
7/24/20,7.0038,7.0233,7.0028,7.0184
7/23/20,7.0069,7.0135,6.9918,7.0068
7/22/20,6.9741,7.0127,6.9658,7.0002
7/21/20,6.9837,6.9955,6.9811,6.9811
7/20/20,6.9939,7.0006,6.9834,6.9836
7/17/20,6.9963,7.0041,6.9913,6.9924
7/16/20,6.9844,7.0016,6.9844,6.9902
7/15/20,6.9916,7.0042,6.9865,6.9889
7/14/20,7.0101,7.0193,7.0049,7.0057
7/13/20,7.0012,7.0045,6.9954,6.9974
7/10/20,6.9995,7.0119,6.9981,7.0004
7/9/20,6.9975,7.0004,6.9824,6.9942
7/8/20,7.0227,7.0236,7.0002,7.0045
7/7/20,7.0189,7.0263,7.0035,7.0137
7/6/20,7.0637,7.0637,7.0172,7.0189
7/3/20,7.0661,7.0696,7.0611,7.0663
7/2/20,7.0635,7.0708,7.062,7.0669
7/1/20,7.0672,7.072,7.0588,7.07
6/30/20,7.0754,7.0785,7.0641,7.0641
6/29/20,7.0818,7.0818,7.0752,7.0811
6/24/20,7.0575,7.0784,7.0518,7.0782
6/23/20,7.0851,7.0884,7.0581,7.0588
